Workout Type,Day of the Week,Date,Start Time,End Time,Duration (min),Active Energy (kcal),Avg Heart Rate (bpm),Step Count (count)
Functional Strength Training,Monday,"Monday, July 31, 2023",12:10 PM,1:29 PM,79.03,529.37,112.77,1852
Walking,Saturday,"Saturday, July 29, 2023",6:48 PM,7:05 PM,17.2,105.77,100.29,882
Walking,Friday,"Friday, July 28, 2023",6:48 PM,7:06 PM,17.77,115.63,106.24,1038
Functional Strength Training,Friday,"Friday, July 28, 2023",11:54 AM,1:42 PM,108.38,627.98,104.12,1864
Walking,Thursday,"Thursday, July 27, 2023",7:16 PM,7:35 PM,18.23,105.44,106.32,1509
Stair Climbing,Thursday,"Thursday, July 27, 2023",1:02 PM,1:14 PM,11.67,163.03,152.57,299
Functional Strength Training,Thursday,"Thursday, July 27, 2023",11:47 AM,1:02 PM,74.6,545.21,120.62,1381
Walking,Wednesday,"Wednesday, July 26, 2023",7:12 PM,7:28 PM,16.47,95.73,105.77,1689
Walking,Wednesday,"Wednesday, July 26, 2023",11:43 AM,11:58 AM,14.83,78.26,125.91,1488
Functional Strength Training,Wednesday,"Wednesday, July 26, 2023",10:27 AM,11:43 AM,76.15,556.68,121.71,1743
Walking,Tuesday,"Tuesday, July 25, 2023",7:32 PM,7:51 PM,18.7,107.62,102.35,1864
Running,Tuesday,"Tuesday, July 25, 2023",12:55 PM,1:05 PM,10.67,127.84,140.89,1009
Functional Strength Training,Tuesday,"Tuesday, July 25, 2023",11:43 AM,12:54 PM,71.77,565.07,123.61,2074
Walking,Monday,"Monday, July 24, 2023",6:54 PM,7:11 PM,16.97,109.51,99.88,1777
Stair Climbing,Monday,"Monday, July 24, 2023",12:53 PM,1:06 PM,12.83,178.49,152.13,237
Functional Strength Training,Monday,"Monday, July 24, 2023",11:39 AM,12:53 PM,73.38,542.68,121.73,1436
Walking,Sunday,"Sunday, July 23, 2023",7:56 PM,8:16 PM,20.43,103.61,107.15,2007
Walking,Saturday,"Saturday, July 22, 2023",7:56 PM,8:13 PM,17.27,105.08,111.87,1897
Walking,Friday,"Friday, July 21, 2023",6:56 PM,7:14 PM,18.08,116.53,109.6,1913
Stair Climbing,Friday,"Friday, July 21, 2023",12:58 PM,1:09 PM,11.55,140.62,138.26,195
Functional Strength Training,Friday,"Friday, July 21, 2023",11:49 AM,12:58 PM,68.82,421.83,107.88,1711
Walking,Thursday,"Thursday, July 20, 2023",6:47 PM,7:06 PM,18.63,103.93,102.89,1917
Stair Climbing,Thursday,"Thursday, July 20, 2023",1:02 PM,1:11 PM,9,118.49,147.34,135
Functional Strength Training,Thursday,"Thursday, July 20, 2023",11:44 AM,1:01 PM,77.73,555.32,120.97,1706
Walking,Wednesday,"Wednesday, July 19, 2023",7:00 PM,7:14 PM,14.05,67.29,100.08,1269
Functional Strength Training,Wednesday,"Wednesday, July 19, 2023",11:46 AM,12:59 PM,73.47,618.11,130.96,2009
Walking,Tuesday,"Tuesday, July 18, 2023",6:47 PM,7:07 PM,19.62,88.04,97.78,1913
Functional Strength Training,Tuesday,"Tuesday, July 18, 2023",11:35 AM,1:21 PM,105.37,760.13,119.57,2744
Walking,Monday,"Monday, July 17, 2023",7:00 PM,7:17 PM,17.02,92.79,104.44,1714
Stair Climbing,Monday,"Monday, July 17, 2023",12:51 PM,1:02 PM,11.15,158.62,156.12,164
Functional Strength Training,Monday,"Monday, July 17, 2023",11:35 AM,12:50 PM,75.42,542.69,122.53,1876
Walking,Friday,"Friday, July 14, 2023",7:08 PM,7:26 PM,18.37,104.04,104.72,1899
Stair Climbing,Friday,"Friday, July 14, 2023",1:17 PM,1:28 PM,11.6,142.83,140.47,263
Functional Strength Training,Friday,"Friday, July 14, 2023",12:05 PM,1:17 PM,72,379.99,99.58,1787
Walking,Thursday,"Thursday, July 13, 2023",7:04 PM,7:23 PM,19.13,101.11,99.25,1874
Walking,Thursday,"Thursday, July 13, 2023",12:46 PM,12:56 PM,10.43,122.92,139.8,991
Functional Strength Training,Thursday,"Thursday, July 13, 2023",11:36 AM,12:45 PM,69.18,481.43,117.74,1896
Walking,Wednesday,"Wednesday, July 12, 2023",6:48 PM,7:09 PM,20.75,117.73,101.12,2057
Walking,Wednesday,"Wednesday, July 12, 2023",12:44 PM,12:55 PM,11.05,95.13,121.37,1138
Functional Strength Training,Wednesday,"Wednesday, July 12, 2023",11:32 AM,12:44 PM,71.82,496.33,113.21,2158
Walking,Tuesday,"Tuesday, July 11, 2023",6:50 PM,7:06 PM,15.28,68.17,97.46,1413
Functional Strength Training,Tuesday,"Tuesday, July 11, 2023",11:32 AM,12:52 PM,80.33,614.48,123.63,2297
Functional Strength Training,Monday,"Monday, July 10, 2023",11:34 AM,1:01 PM,86.72,609.6,120.78,2057
Walking,Saturday,"Saturday, July 8, 2023",1:56 PM,2:37 PM,40.43,180.25,98.7,3984
Functional Strength Training,Friday,"Friday, July 7, 2023",11:51 AM,1:06 PM,75.27,493.09,117.28,1533
Functional Strength Training,Thursday,"Thursday, July 6, 2023",11:57 AM,1:20 PM,82.6,596.37,118.92,1528
